epoch,train_loss,train_mAP,train_f1,val_loss,val_mAP,val_f1,best_mAP
1,0.150101,0.025689,0.004337,0.184072,0.075383,0.000000,0.075383
2,0.131313,0.041515,0.002282,0.182671,0.088654,0.006583,0.088654
3,0.126897,0.056070,0.006927,0.176397,0.100876,0.009274,0.100876
4,0.123393,0.065226,0.010122,0.174949,0.112848,0.014509,0.112848
5,0.122624,0.075184,0.014282,0.172226,0.117625,0.014303,0.117625
6,0.119038,0.085021,0.021852,0.175768,0.119166,0.016204,0.119166
7,0.117627,0.093491,0.025846,0.172515,0.124596,0.017478,0.124596
8,0.115755,0.100583,0.030919,0.178127,0.125711,0.014910,0.125711
9,0.113979,0.108923,0.034767,0.172705,0.130836,0.021538,0.130836
10,0.112598,0.116838,0.040328,0.172362,0.135416,0.025649,0.135416
11,0.112160,0.118293,0.041998,0.173819,0.134064,0.027264,0.135416
12,0.111234,0.122390,0.047490,0.174713,0.131961,0.025652,0.135416
